schluessel;kurzform;anzeigeform;langform
63302008-SG;FKGG-SG;Fachkraft für Gastronomie - Schwerpunkt Systemgast;Fachkraft für Gastronomie - Schwerpunkt Systemgastronomie
27212071;TSVIFP;Technische/r Systemplaner/in FR Versorgungs- und A;Technische/r Systemplaner/in FR Versorgungs- und Ausrüstungstechnik
25212452;KUFKHMF;Karosserie- und Fahrzeugbaumechaniker/in FR Kaross;Karosserie- und Fahrzeugbaumechaniker/in FR Karosserie- und Fahrzeugbautechnik Handwerk
73312001-AV;FMI-AV;Fachangestellter für Medien- und Informationsdiens;Fachangestellter für Medien- und Informationsdienste/Fachangestellte für Medien- und Informationsdienste - Fachrichtung Archiv
26122001;ELAT;Elektroniker für Automatisierungstechnik/Elektroni;Elektroniker für Automatisierungstechnik/Elektronikerin für Automatisierungstechnik
22302350;HFHKH;Holzfachwerker/in (§42r HwO);Holzfachwerker/in (§42r HwO)
25102020;IFIMF;Industriefachhelfer/in (§66 BBiG/§42r HwO);Industriefachhelfer/in (§66 BBiG/§42r HwO)
99999028;FSTe-ET-IT;FS Te Fr Elektrotechnik Sp Informationstechnik;FS Te Fr Elektrotechnik Sp Informationstechnik
63402001;VEK;Veranstaltungskaufmann/Veranstaltungskauffrau;Veranstaltungskaufmann/Veranstaltungskauffrau
24413382-KT;MBDSKHMM;Metallbauer/in + duales Studium FR Konstruktionste;Metallbauer/in + duales Studium FR Konstruktionstechnik Handwerk
23212004-DK;MDP-DK;Mediengestalter Digital und Print/Mediengestalteri;Mediengestalter Digital und Print/Mediengestalterin Digital und Print - Fachrichtung Designkonzeption
22102055;VKBIKH;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktechnik  FR Bauteile Industrie
41432002-GT;BSP-GT;Baustoffprüfer/Baustoffprüferin - Fachrichtung Geo;Baustoffprüfer/Baustoffprüferin - Fachrichtung Geotechnik
25232006-TT;FGM-TT;Fluggerätmechaniker/Fluggerätmechanikerin - Fachri;Fluggerätmechaniker/Fluggerätmechanikerin - Fachrichtung Triebwerkstechnik
32113310-DS;BSDSHHT;Beton- und Stahlbetonbauer/in + duales Studium Han;Beton- und Stahlbetonbauer/in + duales Studium Handwerk
12142613;GAGLGF;Gärtner/in FR Garten- und Landschaftsbau;Gärtner/in FR Garten- und Landschaftsbau
23422320-DI;BBDIPD;Buchbinder/in  Druckweiterverarbeitung (Serie) Ind;Buchbinder/in  Druckweiterverarbeitung (Serie) Industrie
21222024;VMKIRK;Verfahrensmechaniker/in in der Steine- und Erdenin;Verfahrensmechaniker/in in der Steine- und Erdenindustrie FR Kalksandsteine oder Porenbeton
21422010;FIFIRK;Figurenkeramformer/in;Figurenkeramformer/in
28332004-SB;MSM-SB;Maßschuhmacher/Maßschuhmacherin - Fachrichtung Sch;Maßschuhmacher/Maßschuhmacherin - Fachrichtung Schaftbau
26212004;FPIE;Fachpraktiker für Industrieelektrik/Fachpraktikeri;Fachpraktiker für Industrieelektrik/Fachpraktikerin für Industrieelektrik
11102005;LWFW;Landwirtschaftsfachwerker/Landwirtschaftsfachwerke;Landwirtschaftsfachwerker/Landwirtschaftsfachwerkerin
83212020;HWIET;Hauswirtschafter/in Industrie;Hauswirtschafter/in Industrie
21232311;SMMHRK;Steinmetz/in und Steinbildhauer/in FR Steinmetzarb;Steinmetz/in und Steinbildhauer/in FR Steinmetzarbeiten
32122010;MAIHT;Maurer/in Industrie;Maurer/in Industrie
53142710;FBBÖSU;Fachangestellte/r für Bäderbetriebe;Fachangestellte/r für Bäderbetriebe
43112333;FIDPH;Fachinformatiker/in FR Daten- und Prozessanalyse H;Fachinformatiker/in FR Daten- und Prozessanalyse Handwerk
24142003-ZT;MGG-ZT;Metall- und Glockengießer/Metall- und Glockengieße;Metall- und Glockengießer/Metall- und Glockengießerin - Fachrichtung Zinngusstechnik
11322614;PWELLF;Pferdewirt/in FR Pferderennen;Pferdewirt/in FR Pferderennen
26122342;EATHME;Elektroniker/in FR Automatisierungstechnik Handwer;Elektroniker/in FR Automatisierungstechnik Handwerk
73312013;FMGIRV;Fachangestellte/r für Medien- und Informationsdien;Fachangestellte/r für Medien- und Informationsdienste FR Bildagentur Industrie
28342002;PV;Pelzveredler/Pelzveredlerin;Pelzveredler/Pelzveredlerin
62412820;PAFVB;Pharmazeutisch-kaufmännische(r) Angestellte/r;Pharmazeutisch-kaufmännische(r) Angestellte/r
12132612;GAFLGF;Gärtner/in FR Friedhofsgärtnerei;Gärtner/in FR Friedhofsgärtnerei
54112005;GRW;Gebäudereinigerwerker/Gebäudereinigerwerkerin;Gebäudereinigerwerker/Gebäudereinigerwerkerin
22212330;FPLIKH;Fachpraktiker/in für Fahrzeuglackierung (§42r HwO);Fachpraktiker/in für Fahrzeuglackierung (§42r HwO)
33112001;FPM;Fliesen-, Platten- und Mosaikleger/Fliesen-, Platt;Fliesen-, Platten- und Mosaikleger/Fliesen-, Platten- und Mosaiklegerin
24132010;GWIMM;Gießereiwerker/in (§66 BBiG);Gießereiwerker/in (§66 BBiG)
63302050;RFITH;Restaurantfachmann/-fachfrau Industrie;Restaurantfachmann/-fachfrau Industrie
25122003-MK;MAF-MK;Maschinen- und Anlagenführer/Maschinen- und Anlage;Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin - Schwerpunkt Metall- und Kunststofftechnik
23112001;PT;Papiertechnologe/Papiertechnologin;Papiertechnologe/Papiertechnologin
24412008-MG-DS;MB-MG-DS;Metallbauer/Metallbauerin - Fachrichtung Metallges;Metallbauer/Metallbauerin - Fachrichtung Metallgestaltung (+ duales Studium)
28222480;NWHTL;Näher/in im Wäscheschneiderhandwerk (§42r HwO);Näher/in im Wäscheschneiderhandwerk (§42r HwO)
99999078;FSMst-MB;FS Mst Metallbauer/-in;FS Mst Metallbauer/-in
24412003-DS;KM-DS;Konstruktionsmechaniker/Konstruktionsmechanikerin ;Konstruktionsmechaniker/Konstruktionsmechanikerin (+ duales Studium)
93232004-PS;RA-PS;Raumausstatter/Raumausstatterin - Schwerpunkt Pols;Raumausstatter/Raumausstatterin - Schwerpunkt Polstern
25223341-NH;MBDSNHMF;Metallbauer/in + duales Studium FR Nutzfahrzeugbau;Metallbauer/in + duales Studium FR Nutzfahrzeugbau Handwerk
26302050;EZIME;Elektrogerätezusammenbauer/in (§66 BBiG) (36 Monat;Elektrogerätezusammenbauer/in (§66 BBiG) (36 Monate)
27212085;TZSIFP;Technische/r Zeichner/in FR Stahl- und Metallbaute;Technische/r Zeichner/in FR Stahl- und Metallbautechnik
28112320;SIHTL;Sticker/in;Sticker/in
28232002;SEMA;Segelmacher/Segelmacherin;Segelmacher/Segelmacherin
25102090;FPIIMF;Fachpraktiker/in für Industriemechanik (§66 BBiG);Fachpraktiker/in für Industriemechanik (§66 BBiG)
23212383-PM;MDGHPDPM;Mediengestalter/in Digital und Print FR Gestaltung;Mediengestalter/in Digital und Print FR Gestaltung und Technik SP Printmedien Handwerk
34312010;FAIGV;Fachkraft für Abwassertechnik Industrie;Fachkraft für Abwassertechnik Industrie
73322722;FMBÖRV;Fachangestellte/r für Medien- und Informationsdien;Fachangestellte/r für Medien- und Informationsdienste FR Bibliothek Öffentlicher Dienst
82522001;AO;Augenoptiker/Augenoptikerin;Augenoptiker/Augenoptikerin
25232005-IT-DS;FGM-IT-DS;Fluggerätmechaniker/Fluggerätmechanikerin - Fachri;Fluggerätmechaniker/Fluggerätmechanikerin - Fachrichtung Instandhaltungstechnik (+ duales Studium)
27232339;TMBHFP;Technische/r Modellbauer/in (ohne FR-Angabe) Handw;Technische/r Modellbauer/in (ohne FR-Angabe) Handwerk
93352311;WZKHPK;Wachszieher/in FR Kerzenherstellung Handwerk;Wachszieher/in FR Kerzenherstellung Handwerk
41422323;WPWH;Werkstoffprüfer/in FR Wärmebehandlungstechnik (Han;Werkstoffprüfer/in FR Wärmebehandlungstechnik (Handwerk)
43112033;FIDPI;Fachinformatiker/in FR Daten- und Prozessanalyse I;Fachinformatiker/in FR Daten- und Prozessanalyse Industrie
24232410;ZSMHMM;Zerspanungsmechaniker/in Handwerk;Zerspanungsmechaniker/in Handwerk
11232616;TWBLLF;Tierwirt/in FR Imkerei;Tierwirt/in FR Imkerei
51312080;FPLIVL;Fachpraktiker/in für Lagerwirtschaft (§66 BBiG);Fachpraktiker/in für Lagerwirtschaft (§66 BBiG)
23412020;MTDIPD;Medientechnologe/Medientechnologin Druck Industrie;Medientechnologe/Medientechnologin Druck Industrie
26112010;MCIME;Mechatroniker/in Industrie;Mechatroniker/in Industrie
93632001;MBM;Metallblasinstrumentenmacher/Metallblasinstrumente;Metallblasinstrumentenmacher/Metallblasinstrumentenmacherin
11732610;RJLLF;Revierjäger/in;Revierjäger/in
93522123;ESSISI;Edelsteinschleifer/in FR Industriediamantschleifen;Edelsteinschleifer/in FR Industriediamantschleifen (Industrie)
23122002;VPM;Verpackungsmittelmechaniker/Verpackungsmittelmecha;Verpackungsmittelmechaniker/Verpackungsmittelmechanikerin
43112003-DP;FI-DP;Fachinformatiker/Fachinformatikerin - Fachrichtung;Fachinformatiker/Fachinformatikerin - Fachrichtung Daten- und Prozessanalyse
32232001;GLB;Gleisbauer/Gleisbauerin;Gleisbauer/Gleisbauerin
11422001-KH;FIWI-KH;Fischwirt/Fischwirtin - Fachrichtung Küstenfischer;Fischwirt/Fischwirtin - Fachrichtung Küstenfischerei und Kleine Hochseefischerei
24202005;SWE;Schlosserwerker/Schlosserwerkerin;Schlosserwerker/Schlosserwerkerin
26213004;ELGIS;Elektroniker für Gebäude- und Infrastruktursysteme;Elektroniker für Gebäude- und Infrastruktursysteme/Elektronikerin für Gebäude- und Infrastruktursysteme
27212010-SL;BZTIFP;Bauzeichner/in SP Tief-, Straßen- und Landschaftsb;Bauzeichner/in SP Tief-, Straßen- und Landschaftsbau
24202370;MBFHMM;Metallfeinbearbeiter/in (§42r HwO) Handwerk;Metallfeinbearbeiter/in (§42r HwO) Handwerk
31132001;FKSV;Fachkraft für Straßen- und Verkehrstechnik;Fachkraft für Straßen- und Verkehrstechnik
21342340;FGTH;Flachglastechnologe/-technologin Handwerk;Flachglastechnologe/-technologin Handwerk
63112003;TOK;Tourismuskaufmann (Kaufmann für Privat- und Geschä;Tourismuskaufmann (Kaufmann für Privat- und Geschäftsreisen)/Tourismuskauffrau (Kauffrau für Privat- und Geschäftsreisen)
99999017;FSTe-PHT;FS Te Fr Physiktechnik;FS Te Fr Physiktechnik
12112002-OB;GÄ-OB;Gärtner/Gärtnerin - Fachrichtung Obstbau;Gärtner/Gärtnerin - Fachrichtung Obstbau
53142001;FBB;Fachangestellter für Bäderbetriebe/Fachangestellte;Fachangestellter für Bäderbetriebe/Fachangestellte für Bäderbetriebe
28322003;SLS;Schuh- und Lederwarenstepper/Schuh- und Lederwaren;Schuh- und Lederwarenstepper/Schuh- und Lederwarenstepperin
43112005-DS;KDM-DS;Kaufmann für Digitalisierungsmanagement/Kauffrau f;Kaufmann für Digitalisierungsmanagement/Kauffrau für Digitalisierungsmanagement (+ duales Studium)
62302379-LH;FPFHVB;Fachpraktiker/in für Fachverkauf im Lebensmittelha;Fachpraktiker/in für Fachverkauf im Lebensmittelhandwerk (§42r HwO)
21222007-TB;VSE-TB;Verfahrensmechaniker/Verfahrensmechanikerin in der;Verfahrensmechaniker/Verfahrensmechanikerin in der Steine- und Erdenindustrie - Fachrichtung Transportbeton
51212001;STRW;Straßenwärter/Straßenwärterin;Straßenwärter/Straßenwärterin
99999039;FSTe-LT-KT;FS Te Fr Lebensmitteltechnik Sp Küchentechnik;FS Te Fr Lebensmitteltechnik Sp Küchentechnik
83212040-HW;FPHWIET;Fachpraktiker/in für Hauswirtschaft (§66 BBiG) Ind;Fachpraktiker/in für Hauswirtschaft (§66 BBiG) Industrie
24522003-SW;PWM-SW;Präzisionswerkzeugmechaniker/Präzisionswerkzeugmec;Präzisionswerkzeugmechaniker/Präzisionswerkzeugmechanikerin - Fachrichtung Schneidwerkzeuge
32202020-BS;TBIHTBS;Tiefbaufacharbeiter/in SP Brunnen-/Spezialtiefbaua;Tiefbaufacharbeiter/in SP Brunnen-/Spezialtiefbauarbeiten
26312008-BT;IE-BT;Informationselektroniker/Informationselektronikeri;Informationselektroniker/Informationselektronikerin Schwerpunkt Bürosystemtechnik
93522011-SC;GS-SC;Goldschmied/Goldschmiedin - Fachrichtung Schmuck;Goldschmied/Goldschmiedin - Fachrichtung Schmuck
99999048;FSTe-UST;FS Te Fr Umweltschutztechnik (Zusatzqualifikation);FS Te Fr Umweltschutztechnik (Zusatzqualifikation)
26332030;FGE;Fluggerätelektroniker/in;Fluggerätelektroniker/in
28242030;POITL;Polsterer/Polsterin;Polsterer/Polsterin
24132006-SB;GM-SB;Gießereimechaniker/Gießereimechanikerin - Schwerpu;Gießereimechaniker/Gießereimechanikerin - Schwerpunkt Schmelzbetrieb
93432002-GG;GBL-GG;Glasbläser/Glasbläserin - Fachrichtung Glasgestalt;Glasbläser/Glasbläserin - Fachrichtung Glasgestaltung
26312453;EITHME;Elektroniker/in FR Informations- und Telekommunika;Elektroniker/in FR Informations- und Telekommunikationstechnik
42212310;SCHGU;Schornsteinfeger/in;Schornsteinfeger/in
28322340;FKLVHGV;Fachkraft für Lederverarbeitung Handwerk;Fachkraft für Lederverarbeitung Handwerk
25102030;IMIMF;Industriemechaniker/in Industrie;Industriemechaniker/in Industrie
99999030;FSTe-HAT-MR;FS Te Fr Holztechnik Sp Möbelbau und Raumgestalt.;FS Te Fr Holztechnik Sp Möbelbau und Raumgestalt.
26312460;EISH;Elektroniker/in für Informations- und Systemtechni;Elektroniker/in für Informations- und Systemtechnik (Handwerk)
62312332-KO;FVLKV;Fachverkäufer/in im Lebensmittelhandwerk SP Kondit;Fachverkäufer/in im Lebensmittelhandwerk SP Konditorei
24512330-MB;FMMHMM;Feinwerkmechaniker/in SP Maschinenbau;Feinwerkmechaniker/in SP Maschinenbau
63302908;FKG;Fachkraft für Gastronomie;Fachkraft für Gastronomie
33302002;FPAFW;Fachpraktiker im Ausbaufachwerk/Fachpraktikerin im;Fachpraktiker im Ausbaufachwerk/Fachpraktikerin im Ausbaufachwerk
61312001;IMK;Immobilienkaufmann/Immobilienkauffrau;Immobilienkaufmann/Immobilienkauffrau
33212007;FWML;Fachwerker im Maler- und Lackiererhandwerk/Fachwer;Fachwerker im Maler- und Lackiererhandwerk/Fachwerkerin im Maler- und Lackiererhandwerk
28322004-FS;SA-FS;Sattler/Sattlerin - Fachrichtung Fahrzeugsattlerei;Sattler/Sattlerin - Fachrichtung Fahrzeugsattlerei
27232331;TMGHFP;Technische/r Modellbauer/in FR Gießerei Handwerk;Technische/r Modellbauer/in FR Gießerei Handwerk
72122002-FB-DS;KVF-FB-DS;Kaufmann/Kauffrau für Versicherungen und Finanzen ;Kaufmann/Kauffrau für Versicherungen und Finanzen - Fachrichtung Finanzberatung (+ duales Studium)
73212722;SOSÖRV;Sozialversicherungsfachangestellte/r FR Knappschaf;Sozialversicherungsfachangestellte/r FR Knappschaftliche Sozialversicherung Öffentlicher Dienst
81112001;ZMF;Zahnmedizinischer Fachangestellter/Zahnmedizinisch;Zahnmedizinischer Fachangestellter/Zahnmedizinische Fachangestellte
41322005-DS;TL-DS;Textillaborant/Textillaborantin (+ duales Studium);Textillaborant/Textillaborantin (+ duales Studium)
31212002-VM;VMT-VM;Vermessungstechniker/Vermessungstechnikerin - Fach;Vermessungstechniker/Vermessungstechnikerin - Fachrichtung Vermessung
61212021;KGAMGI;Kaufmann/Kauffrau für Groß- und Außenhandelsmanage;Kaufmann/Kauffrau für Groß- und Außenhandelsmanagement - FR-Großhandel Industrie
26312350-BS;IEBHME;Informationselektroniker/in SP Bürosystemtechnik;Informationselektroniker/in SP Bürosystemtechnik
29132010;BRILM;Brenner/in Industrie;Brenner/in Industrie
26123010;EADSTIME;Elektroniker/in für Automatisierungstechnik + dual;Elektroniker/in für Automatisierungstechnik + duales Studium Industrie
24222002;VPOL;Vorpolierer/Vorpoliererin in der Schmuck- und Klei;Vorpolierer/Vorpoliererin in der Schmuck- und Kleingeräteherstellung
28332010;SLSITL;Schuh- und Lederwarenstepper/in;Schuh- und Lederwarenstepper/in
41312001;CK;Chemikant/Chemikantin;Chemikant/Chemikantin
23412100;FPMIPD;Fachpraktiker/in für Medientechnologie Druckverarb;Fachpraktiker/in für Medientechnologie Druckverarbeitung (§66 BBiG)
24302020;OBHMM;Oberflächenbeschichter/in Handwerk;Oberflächenbeschichter/in Handwerk
28312330;FLGHTL;Fachkraft für Lederherstellung und Gerbereitechnik;Fachkraft für Lederherstellung und Gerbereitechnik
81313001;FKP;Fachkrankenpfleger/Fachkrankenpflegerin - Intermed;Fachkrankenpfleger/Fachkrankenpflegerin - Intermediate Care
43312314;FIDVH;Fachinformatiker/in FR Digitale Vernetzung Handwer;Fachinformatiker/in FR Digitale Vernetzung Handwerk
62102005-BÄ;FGNV-BÄ;Fachgehilfe im Nahrungsmittelverkauf/Fachgehilfin ;Fachgehilfe im Nahrungsmittelverkauf/Fachgehilfin im Nahrungsmittelverkauf - Schwerpunkt Bäckerei
99999005;FSAW-LBI;FS Agrarwirtsch. Fr Landbau Sp Intensivkultur (2J);FS Agrarwirtsch. Fr Landbau Sp Intensivkultur (2J)
32112310;BSHHT;Beton- und Stahlbetonbauer/in Handwerk;Beton- und Stahlbetonbauer/in Handwerk
73212001;FAD;Fachangestellter für Arbeitsmarktdienstleistungen/;Fachangestellter für Arbeitsmarktdienstleistungen/Fachangestellte für Arbeitsmarktdienstleistungen
73212730;FADÖRV;Fachangestellte/r für Arbeitsmarktdienstleistungen;Fachangestellte/r für Arbeitsmarktdienstleistungen
43412001;MTS;Mathematisch-technischer Softwareentwickler/Mathem;Mathematisch-technischer Softwareentwickler/Mathematisch-technische Softwareentwicklerin
34342003-DS;AM-DS;Anlagenmechaniker/Anlagenmechanikerin (+ duales St;Anlagenmechaniker/Anlagenmechanikerin (+ duales Studium)
43102332;FISH;Fachinformatiker/in FR Systemintegration Handwerk;Fachinformatiker/in FR Systemintegration Handwerk
32142330;DDHHT;Dachdecker/in;Dachdecker/in
41322020;CJIMB;Chemielaborjungwerker/in;Chemielaborjungwerker/in
83211930;HBHET;Hauswirtschaftstechnische(r) Helfer/in (§66 BBiG) ;Hauswirtschaftstechnische(r) Helfer/in (§66 BBiG) Handwerk
24522381;PWMHS;Präzisionswerkzeugmechaniker/in FR Schneidwerkzeug;Präzisionswerkzeugmechaniker/in FR Schneidwerkzeuge Handwerk
34342002;BAB;Behälter- und Apparatebauer/Behälter- und Apparate;Behälter- und Apparatebauer/Behälter- und Apparatebauerin
71402060;BKRIUO;Bürokraft (§66 BBiG);Bürokraft (§66 BBiG)
52122010;BKGIFT;Berufskraftfahrer/in Industrie;Berufskraftfahrer/in Industrie
21342031;GVKIRK;Glasveredler/in FR Kanten- und Flächenveredlung In;Glasveredler/in FR Kanten- und Flächenveredlung Industrie
62322313-FL;FVLFV;Fachverkäufer/in im Lebensmittelhandwerk SP Fleisc;Fachverkäufer/in im Lebensmittelhandwerk SP Fleischerei
21363020-DS;FODS;Feinoptiker/in + duales Studium Industrie;Feinoptiker/in + duales Studium Industrie
24132320;GMAIMM;Gießereimechaniker/in;Gießereimechaniker/in
26263310-DH;EAMDSHME;Elektroanlagenmonteur/in + duales Studium Handwerk;Elektroanlagenmonteur/in + duales Studium Handwerk
73282001-HI;VFA-HI;Verwaltungsfachangestellter/Verwaltungsfachangeste;Verwaltungsfachangestellter/Verwaltungsfachangestellte - Fachrichtung Handwerksorganisation und Industrie- und Handelskammern
71402004;BÜP;Büropraktiker/Büropraktikerin;Büropraktiker/Büropraktikerin
63302908-R;FKG-RS;Fachkraft für Gastronomie - Schwerpunkt Restaurant;Fachkraft für Gastronomie - Schwerpunkt Restaurantservice
21412010;IKAIRK;Industriekeramiker/in Anlagentechnik;Industriekeramiker/in Anlagentechnik
99999094;HBF_PV;Staatl. gepr. Assistent/in Polizei und Verwaltung;Staatl. gepr. Assistent/in Polizei und Verwaltung
25252001;FRM;Fahrradmonteur/Fahrradmonteurin;Fahrradmonteur/Fahrradmonteurin
43233020-DS;ISDSIIK;IT-System-Kaufmann/Kauffrau + duales Studium Indus;IT-System-Kaufmann/Kauffrau + duales Studium Industrie (auslaufender Beruf)
71402340-BK;FPBHUO;Fachpraktiker/in für Bürokommunikation (§42r HwO) ;Fachpraktiker/in für Bürokommunikation (§42r HwO) Handwerk
99999032;FSTe-KFB;FS Te Fr Karosserie- und Fahrzeugbau;FS Te Fr Karosserie- und Fahrzeugbau
22103344-CM;VKDSCMH;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktech.+dual. Stud. FR Compound- und Masterbatchherst. Handwerk
23112020;PPTI;Papiertechnologe/-technologin Industrie;Papiertechnologe/-technologin Industrie
24413082-KT;MBDSKIMM;Metallbauer/in + duales Studium FR Konstruktionste;Metallbauer/in + duales Studium FR Konstruktionstechnik Industrie
23122310;PMTHPD;Packmitteltechnologe/Packmitteltechnologin Handwer;Packmitteltechnologe/Packmitteltechnologin Handwerk
93232010;RSIPK;Raumausstatter/in Industrie;Raumausstatter/in Industrie
32122002-DS;MA-DS;Maurer/Maurerin (+ duales Studium);Maurer/Maurerin (+ duales Studium)
24232001;FPZM;Fachpraktiker für Zerspanungsmechanik/Fachpraktike;Fachpraktiker für Zerspanungsmechanik/Fachpraktikerin für Zerspanungsmechanik
29302004;KOC;Koch/Köchin;Koch/Köchin
27232051;TMGIFP;Technische/r Modellbauer/in FR Gießerei Industrie;Technische/r Modellbauer/in FR Gießerei Industrie
29222002;BFW;Bäckerfachwerker/Bäckerfachwerkerin;Bäckerfachwerker/Bäckerfachwerkerin
24512330-FM;FMFHMM;Feinwerkmechaniker/in SP Feinmechanik;Feinwerkmechaniker/in SP Feinmechanik
28242908-I;FZIMI;Fahrzeuginterieur-Mechaniker/in (Industrie);Fahrzeuginterieur-Mechaniker/in (Industrie)
93422310;GPHPK;Glas- und Porzellanmaler/in;Glas- und Porzellanmaler/in
43233320-DS;ISDSHIK;IT-System-Kaufmann/Kauffrau + duales Studium Handw;IT-System-Kaufmann/Kauffrau + duales Studium Handwerk (auslaufender Beruf)
81142001;TMFA;Tiermedizinischer Fachangestellter/Tiermedizinisch;Tiermedizinischer Fachangestellter/Tiermedizinische Fachangestellte
93432001-CS;GBL-CS;Glasbläser/Glasbläserin - Fachrichtung Christbaums;Glasbläser/Glasbläserin - Fachrichtung Christbaumschmuck
73342001-MD;FMI-MD;Fachangestellter für Medien- und Informationsdiens;Fachangestellter für Medien- und Informationsdienste/Fachangestellte für Medien- und Informationsdienste - Fachrichtung Medizinische Dokumentation
43102022-SI;FISIIK;Fachinformatiker/in FR Systemintegration Industrie;Fachinformatiker/in FR Systemintegration Industrie ausgelaufener Beruf
33302011-ZA;ABF-ZA;Ausbaufacharbeiter/Ausbaufacharbeiterin - Schwerpu;Ausbaufacharbeiter/Ausbaufacharbeiterin - Schwerpunkt Zimmerarbeiten
31212022;VTBIBA;Vermessungstechniker/in FR Bergvermessung Industri;Vermessungstechniker/in FR Bergvermessung Industrie
41212610;MLLMB;Milchwirtschaftliche(r) Laborant/in;Milchwirtschaftliche(r) Laborant/in
62532001;MFH;Musikfachhändler/Musikfachhändlerin;Musikfachhändler/Musikfachhändlerin
33302010;AAIAB;Ausbaufacharbeiter/in;Ausbaufacharbeiter/in
94532010;FEIDU;Film- und Videoeditor/in;Film- und Videoeditor/in
63312010;SGITH;Fachmann/Fachfrau für Systemgastronomie;Fachmann/Fachfrau für Systemgastronomie
99999097;FSTe-LT;FS Te Fr Lebensmitteltechnik;FS Te Fr Lebensmitteltechnik
28222010;ÄSITL;Änderungsschneider/in;Änderungsschneider/in
62102003;VK;Verkäufer/Verkäuferin;Verkäufer/Verkäuferin
24122033;VHUIMM;Verfahrensmechaniker/in in der Hütten- und Halbzeu;Verfahrensmechaniker/in in der Hütten- und Halbzeugindustrie FR Nichteisenmetall-Umformung Industrie
83212002;FPPD;Fachpraktiker für personale Dienstleistungen/Fachp;Fachpraktiker für personale Dienstleistungen/Fachpraktikerin für personale Dienstleistungen
51522001-FW;EBB-FW;Eisenbahner im Betriebsdienst/Eisenbahnerin im Bet;Eisenbahner im Betriebsdienst/Eisenbahnerin im Betriebsdienst - Fachrichtung Fahrweg
26312009-DS;IE-DS;Informationselektroniker/Informationselektronikeri;Informationselektroniker/Informationselektronikerin (+ duales Studium)
28112010;PTITL;Produktgestalter/in-Textil;Produktgestalter/in-Textil
61312010;IMIEH;Immobilienkaufmann/-kauffrau;Immobilienkaufmann/-kauffrau
94612012;BÜPIDU;Bühnenmaler/in und -plastiker/in FR Plastik;Bühnenmaler/in und -plastiker/in FR Plastik
33322030;ZIIAB;Zimmerer/Zimmerin Industrie;Zimmerer/Zimmerin Industrie
63302006;REFA;Restaurantfachmann/Restaurantfachfrau;Restaurantfachmann/Restaurantfachfrau
21212032;AMFIRK;Aufbereitungsmechaniker/in FR Feuerfeste und keram;Aufbereitungsmechaniker/in FR Feuerfeste und keramische Rohstoffe
54152001;FPFZP;Fachpraktiker für Fahrzeugpflege/Fachpraktikerin f;Fachpraktiker für Fahrzeugpflege/Fachpraktikerin für Fahrzeugpflege
99999047;FSTe-TGA;FS Te Fr Technische Gebäudeausrüstung;FS Te Fr Technische Gebäudeausrüstung
27212003-ES;TSP-ES;Technischer Systemplaner/Technische Systemplanerin;Technischer Systemplaner/Technische Systemplanerin - Fachrichtung Elektrotechnische Systeme
24522081;PWMIS;Präzisionswerkzeugmechaniker/in FR Schneidwerkzeug;Präzisionswerkzeugmechaniker/in FR Schneidwerkzeuge Industrie
63212905;KHM;Kaufmann für Hotelmanagement/Kauffrau für Hotelman;Kaufmann für Hotelmanagement/Kauffrau für Hotelmanagement
41323040-DS;TLDSIMB;Textillaborant/in + duales Studium;Textillaborant/in + duales Studium
23412030;MTSIPD;Medientechnologe/Medientechnologin Siebdruck Indus;Medientechnologe/Medientechnologin Siebdruck Industrie
32262002-DS;WB-DS;Wasserbauer/Wasserbauerin (+ duales Studium);Wasserbauer/Wasserbauerin (+ duales Studium)
26312013-IT-DS;EL-IT-DS;Elektroniker/Elektronikerin - Fachrichtung Informa;Elektroniker/Elektronikerin - Fachrichtung Informations- und Telekommunikationstechnik (+ duales Studium)
27212016-SM;TSP-SM;Technischer Systemplaner/Technische Systemplanerin;Technischer Systemplaner/Technische Systemplanerin - Fachrichtung Stahl- und Metallbautechnik
21222010-BT;BFTIRK;Betonfertigteilbauer/in SP Betonstein und Terrazo;Betonfertigteilbauer/in SP Betonstein und Terrazo
99999065;FSS-OF;FS Sozialwesen Fr Organisation und Führung;FS Sozialwesen Fr Organisation und Führung
33242001;FKHB;Fachkraft für Holz- und Bautenschutzarbeiten;Fachkraft für Holz- und Bautenschutzarbeiten
93532343;MBZTHPK;Metallbildner/in FR Ziseliertechnik;Metallbildner/in FR Ziseliertechnik
25233043-TI;FMDSTIMF;Fluggerätmechaniker/in + duales Studium FR Triebwe;Fluggerätmechaniker/in + duales Studium FR Triebwerkstechnik Industrie
29222320;BFWHLM;Bäckerfachwerker/in (§42r HwO);Bäckerfachwerker/in (§42r HwO)
54112003;FPGRH;Fachpraktiker im Gebäudereinigerhandwerk/Fachprakt;Fachpraktiker im Gebäudereinigerhandwerk/Fachpraktikerin im Gebäudereinigerhandwerk
92302002;MKDP;Medienkaufmann Digital und Print/Medienkauffrau Di;Medienkaufmann Digital und Print/Medienkauffrau Digital und Print
62102004;VKH;Verkaufshelfer/Verkaufshelferin;Verkaufshelfer/Verkaufshelferin
