schluessel;kurzform;anzeigeform;langform
22302002;HBM;Holzbearbeitungsmechaniker/Holzbearbeitungsmechani;Holzbearbeitungsmechaniker/Holzbearbeitungsmechanikerin
24532001;UM;Uhrmacher/Uhrmacherin;Uhrmacher/Uhrmacherin
23422006-ES;BUB-ES;Buchbinder/Buchbinderin Einzel- und Sonderfertigun;Buchbinder/Buchbinderin Einzel- und Sonderfertigung
21112001-TI;BM-TI;Berg- und Maschinenmann/Berg- und Maschinenfrau - ;Berg- und Maschinenmann/Berg- und Maschinenfrau - Fachrichtung Transport und Instandhaltung
34332010-SV;FKLIGV;Fachkraft für Kreislauf- und Abfallwirtschaft SP L;Fachkraft für Kreislauf- und Abfallwirtschaft SP Logistik, Sammlung und Vertrieb Industrie
54112004;GR;Gebäudereiniger/Gebäudereinigerin;Gebäudereiniger/Gebäudereinigerin
12142001-GL;GÄ-GL;Gärtner/Gärtnerin - Fachrichtung Garten- und Lands;Gärtner/Gärtnerin - Fachrichtung Garten- und Landschaftsbau
28102010;PMITL;Produktionsmechaniker/in-Textil;Produktionsmechaniker/in-Textil
51652001-LF;SK-LF;Schifffahrtskaufmann/-kauffrau - Fachrichtung Lini;Schifffahrtskaufmann/-kauffrau - Fachrichtung Linienfahrt
22342002;FPMKU;Fachpraktiker für Möbel-, Küchen- und Umzugsservic;Fachpraktiker für Möbel-, Küchen- und Umzugsservice/Fachpraktikerin für Möbel-, Küchen- und Umzugsservice
43412351;FIAEH;Fachinformatiker/in FR Anwendungsentwicklung Handw;Fachinformatiker/in FR Anwendungsentwicklung Handwerk
93522004-EM;SS-EM;Silberschmied/Silberschmiedin - Schwerpunkt Email;Silberschmied/Silberschmiedin - Schwerpunkt Email
33342002-VG;GL-VG;Glaser/Glaserin - Fachrichtung Verglasung und Glas;Glaser/Glaserin - Fachrichtung Verglasung und Glasbau
94512002-AD;FKST-AD;Fachkraft für Veranstaltungstechnik - Schwerpunkt ;Fachkraft für Veranstaltungstechnik - Schwerpunkt Aufbau und Durchführung
63302320;RFHTH;Restaurantfachmann/-fachfrau Handwerk;Restaurantfachmann/-fachfrau Handwerk
34232010;MKTIGV;Mechatroniker/in für Kältetechnik Industrie;Mechatroniker/in für Kältetechnik Industrie
21222006-KP;VSE-KP;Verfahrensmechaniker/Verfahrensmechanikerin in der;Verfahrensmechaniker/Verfahrensmechanikerin in der Steine- und Erdenindustrie - Fachrichtung Kalksandsteine oder Porenbeton
26222020;EMAIME;Elektroniker/in für Maschinen und Antriebstechnik ;Elektroniker/in für Maschinen und Antriebstechnik Industrie
93522050;ESIPK;Edelsteinschleifer/in Industrie;Edelsteinschleifer/in Industrie
24112021;VHEIMM;Verfahrensmechaniker/in in der Hütten- und Halbzeu;Verfahrensmechaniker/in in der Hütten- und Halbzeugindustrie FR Eisen- und Stahl-Metallurgie Industrie
54112350;GWHRB;Gebäudereinigerwerker/in (§42r HwO);Gebäudereinigerwerker/in (§42r HwO)
28322320;HSHTL;Handschuhmacher/in;Handschuhmacher/in
51312001;FKLL;Fachkraft für Lagerlogistik;Fachkraft für Lagerlogistik
32142311-2016;DDDHHT-2016;Dachdecker/in SP Schwerpunkte Dachdeckungs-, Abdic;Dachdecker/in SP Schwerpunkte Dachdeckungs-, Abdichtungs-, Außenwandbekleidungs- und Energietechnik an Dach und Wand
29232004;FLFW;Fleischerfachwerker/Fleischerfachwerkerin;Fleischerfachwerker/Fleischerfachwerkerin
93432012;GBGIPK;Glasbläser/in FR Glasgestaltung;Glasbläser/in FR Glasgestaltung
62242001;FMF;Fotomedienfachmann/Fotomedienfachfrau;Fotomedienfachmann/Fotomedienfachfrau
28122330;SRHTL;Stricker/in;Stricker/in
25122010-TT;MATIMF;Maschinen- und Anlagenführer/in SP Textiltechnik;Maschinen- und Anlagenführer/in SP Textiltechnik
12102660;HGLGF;Helfer/in im Gartenbau (§66 BBiG);Helfer/in im Gartenbau (§66 BBiG)
54112380;FPGHRB;Fachpraktiker/in für Gebäudereiniger/in (§42r HwO);Fachpraktiker/in für Gebäudereiniger/in (§42r HwO)
27212007-IB--DS;BZ-IB-DS;Bauzeichner/Bauzeichnerin - Schwerpunkt Ingenieurb;Bauzeichner/Bauzeichnerin - Schwerpunkt Ingenieurbau (+ duales Studium)
81302002;PF-KP;Pflegefachmann Kinderkrankenpflege/Pflegefachfrau ;Pflegefachmann Kinderkrankenpflege/Pflegefachfrau Kinderkrankenpflege
99999019;FSTe-UST-LÖ;FS Te Fr Umweltschutztechnik Sp Landschaftsökolog.;FS Te Fr Umweltschutztechnik Sp Landschaftsökolog.
62322322-FL;FPLFHVB;Fachpraktiker/in für Fachverkauf im Lebensmittelha;Fachpraktiker/in für Fachverkauf im Lebensmittelhandwerk (§42r HwO) SP Fleischerei
28322002;HSM;Handschuhmacher/Handschuhmacherin;Handschuhmacher/Handschuhmacherin
27232052;TMKIFP;Technische/r Modellbauer/in FR Karosserie und Prod;Technische/r Modellbauer/in FR Karosserie und Produktion Industrie
93532002-RG;GV-RG;Graveur/Graveurin - Schwerpunkt Reliefgraviertechn;Graveur/Graveurin - Schwerpunkt Reliefgraviertechnik
11302001;FPPW;Fachpraktiker in der Pferdewirtschaft/Fachpraktike;Fachpraktiker in der Pferdewirtschaft/Fachpraktikerin in der Pferdewirtschaft
99999091;HBF_UTA;Staatl. gepr. umweltschutztech. Assistent/in;Staatl. gepr. umweltschutztech. Assistent/in
28332003-MS;MSM-MS;Maßschuhmacher/Maßschuhmacherin - Fachrichtung Maß;Maßschuhmacher/Maßschuhmacherin - Fachrichtung Maßschuhe
25112321;FKMMH;Fachkraft für Metalltechnik FR Montagetechnik (Han;Fachkraft für Metalltechnik FR Montagetechnik (Handwerk)
